titulo,ano,nota IMDB,numero de votos,duração(min),classificação indicativa,genero,bilheteria total(USD)
The Shawshank Redemption,1994,9.3,3168010,142,16 anos,Drama,29330000.0
The Godfather,1972,9.2,2212884,175,16 anos,"Crime, Drama",250930000.0
The Dark Knight,2008,9.1,3145646,152,13 anos,"Action, Crime, Drama",1008480000.0
The Godfather Part II,1974,9.0,1486878,202,16 anos,"Crime, Drama",48200000.0
12 Angry Men,1957,9.0,977359,96,Não classificado,"Crime, Drama",10000.0
The Lord of the Rings: The Return of the King,2003,9.0,2152126,201,13 anos,"Adventure, Drama, Fantasy",1148970000.0
Schindler&apos;s List,1994,9.0,1577558,195,16 anos,"Biography, Drama, History",322160000.0
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2193491,178,13 anos,"Adventure, Drama, Fantasy",897000000.0
Pulp Fiction,1994,8.8,2421067,154,16 anos,"Crime, Drama",213930000.0
"Il buono, il brutto, il cattivo",1967,8.8,887227,178,16 anos,"Adventure, Drama, Western",25270000.0
The Lord of the Rings: The Two Towers,2002,8.8,1945026,179,13 anos,"Adventure, Drama, Fantasy",944740000.0
Forrest Gump,1994,8.8,2479948,142,13 anos,"Drama, Romance",678230000.0
Fight Club,1999,8.8,2585212,139,16 anos,"Crime, Drama, Thriller",101320000.0
Inception,2010,8.8,2796318,148,13 anos,"Action, Adventure, Sci-Fi",839790000.0
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1496595,124,10 anos,"Action, Adventure, Fantasy",550020000.0
The Matrix,1999,8.7,2233701,136,16 anos,"Action, Sci-Fi",473330000.0
GoodFellas,1990,8.7,1382099,145,16 anos,"Biography, Crime, Drama",47080000.0
Interstellar,2014,8.7,2496091,169,13 anos,"Adventure, Drama, Sci-Fi",773860000.0
One Flew Over the Cuckoo&apos;s Nest,1975,8.6,1152486,133,16 anos,Drama,109130000.0
Se7en,1995,8.6,2006146,127,16 anos,"Crime, Drama, Mystery",329810000.0
It&apos;s a Wonderful Life,1947,8.6,552664,130,10 anos,"Drama, Family, Fantasy",11500000.0
The Silence of the Lambs,1991,8.6,1711212,118,16 anos,"Crime, Drama, Horror",272740000.0
Shichinin no samurai,1956,8.6,400179,207,Não classificado,"Action, Drama",1090000.0
Saving Private Ryan,1998,8.6,1628543,169,16 anos,"Drama, War",482350000.0
The Green Mile,1999,8.6,1551508,189,16 anos,"Crime, Drama, Fantasy",286800000.0
Cidade de Deus,2004,8.6,866611,130,16 anos,"Crime, Drama",30690000.0
La vita è bella,1997,8.6,808265,116,13 anos,"Comedy, Drama, Romance",230100000.0
Terminator 2: Judgment Day,1991,8.6,1277496,137,16 anos,"Action, Adventure, Sci-Fi",517780000.0
Star Wars,1977,8.6,1561809,121,10 anos,"Action, Adventure, Fantasy",775400000.0
Back to the Future,1985,8.5,1442692,116,10 anos,"Adventure, Comedy, Sci-Fi",392980000.0
Sen to Chihiro no kamikakushi,2003,8.6,959384,124,10 anos,"Animation, Adventure, Family",360180000.0
The Pianist,2003,8.5,1006347,150,16 anos,"Biography, Drama, Music",120100000.0
Gladiator,2000,8.5,1837102,155,16 anos,"Action, Adventure, Drama",465520000.0
Gisaengchung,2019,8.5,1150711,132,16 anos,"Drama, Thriller",262550000.0
Hotaru no haka,1989,8.5,380478,88,Não classificado,"Animation, Drama, War",4700000.0
Psycho,1960,8.5,781795,109,16 anos,"Drama, Horror, Mystery",32270000.000000004
The Lion King,1994,8.5,1251328,88,Livre,"Animation, Adventure, Drama",979160000.0
Seppuku,1964,8.6,89994,133,Não classificado,"Drama, Mystery",20000.0
The Departed,2006,8.5,1545064,151,16 anos,"Crime, Drama, Thriller",292100000.0
Whiplash,2014,8.5,1143440,106,16 anos,"Drama, Music",50430000.0
The Prestige,2006,8.5,1576959,130,13 anos,"Drama, Mystery, Sci-Fi",109680000.0
Kill Bill: The Whole Bloody Affair,2025,8.8,30141,253,Não classificado,"Action, Crime, Thriller",6720000.0
American History X,1998,8.5,1267862,119,16 anos,"Crime, Drama",23880000.0
Léon,1994,8.5,1344671,110,16 anos,"Action, Crime, Drama",20330000.0
Spider-Man: Across the Spider-Verse,2023,8.5,513688,140,10 anos,"Animation, Action, Adventure",690820000.0
Nuovo Cinema Paradiso,1990,8.5,315853,174,10 anos,"Drama, Romance",13500000.0
Casablanca,1943,8.5,653074,102,10 anos,"Drama, Romance, War",4740000.0
Intouchables,2011,8.5,1020643,112,16 anos,"Comedy, Drama",426590000.0
The Usual Suspects,1995,8.5,1232633,106,16 anos,"Crime, Drama, Mystery",23340000.0
Alien,1979,8.5,1058161,117,16 anos,"Horror, Sci-Fi",109510000.0
Django Unchained,2012,8.5,1870222,165,16 anos,"Drama, Western",426080000.0
Modern Times,1936,8.5,284271,87,Livre,"Comedy, Drama, Romance",470000.0
Rear Window,1954,8.5,566914,112,10 anos,"Drama, Mystery, Thriller",37920000.0
C&apos;era una volta il West,1969,8.5,382606,145,13 anos,"Drama, Western",5440000.0
City Lights,1931,8.5,215684,87,Livre,"Comedy, Drama, Romance",60000.0
Apocalypse Now,1979,8.4,766922,147,16 anos,"Drama, Mystery, War",105270000.0
WALL·E,2008,8.4,1311927,98,Livre,"Animation, Adventure, Family",527400000.0
Memento,2001,8.4,1427780,113,16 anos,"Drama, Mystery, Thriller",40060000.0
Dune: Part Two,2024,8.4,722936,166,13 anos,"Action, Adventure, Drama",714840000.0
Raiders of the Lost Ark,1981,8.4,1105828,115,10 anos,"Action, Adventure",389930000.0
Avengers: Infinity War,2018,8.4,1359383,149,13 anos,"Action, Adventure, Sci-Fi",2052420000.0
Das Leben der Anderen,2007,8.4,441636,137,16 anos,"Drama, Mystery, Thriller",77670000.0
Spider-Man: Into the Spider-Verse,2018,8.4,780193,117,10 anos,"Animation, Action, Adventure",394880000.0
Sunset Blvd.,1950,8.4,260009,110,Não classificado,"Drama, Film-Noir",340000.0
Witness for the Prosecution,1958,8.4,160732,116,Não classificado,"Crime, Drama, Mystery",10000.0
